"repo_name","discussion","title","number","state","author","timestamp","emoji","category","converted_from_issue"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1647","restating question about ripgrep installers",1647,"Answered","Phillip-M-Feldman",2020-07-28,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1646","binary installers?",1646,"Answered","Phillip-M-Feldman",2020-07-28,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1645","Is it possible to include an exception to a glob exclusion?",1645,"Answered","jpmor",2020-07-28,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1644","How to make ripgrep match multiple rules in one line or use longest match principle？",1644,"Answered","XhstormR",2020-07-23,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1643","Helper utility",1643,"Answered","guest73",2020-07-16,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1641","Lingering Rg calls from VIM",1641,"Answered","hqkhan",2020-07-08,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1639","Streaming file list support?",1639,"Answered","infokiller",2020-07-08,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1633","How to use `Searcher` to find exact portions of a byte match.",1633,"Answered","acheronfail",2020-07-03,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1623","How to I find all occurences of emojis in my codebase?",1623,"Answered","ssbarnea",2020-06-20,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1620","rg in directory with lots of unpinned files",1620,"Answered","vdwees",2020-06-16,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1621","string literal with parentheses (t) is not matched",1621,"Answered","mxschumacher",2020-06-17,,,"True"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1619","Using rg inside mounted dir via sshfs.",1619,"Answered","ApplicationDeveloper",2020-06-16,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1617","how to set a new file type  to search?",1617,"Answered","yylays",2020-06-12,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1607","how to search in multiple directories with specified extensions",1607,"Answered","xinglonghe",2020-06-07,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1603","Can glob directory exclusion work at the same time as extension exclusion?",1603,"Answered","tuxayo",2020-05-29,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1601","Not finding searched term in subdirectories",1601,"Answered","Gahamelas",2020-05-28,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1599","Find files containing the searched expression",1599,"Answered","Gahamelas",2020-05-27,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1594","How can I modify rg (ripgrep) to perform case sensitive search only when the given PATTERN has any uppercase char?",1594,"Answered","tifDev",2020-05-24,,,"True"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1593","Show line number on the same line as file name in pretty mode",1593,"Answered","timkgh",2020-05-22,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1592","Should I parse the json output now if I want to use ripgrep in rust?",1592,"Answered","BurntSushi",2020-05-22,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1589","Best practice to search for file names recursively respecting .gitignore?",1589,"Answered","rolfb",2020-05-20,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1588","How to add specific hidden directories to search paths?",1588,"Answered","slafs",2020-05-19,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1582","PDF feature",1582,"Answered","Gahamelas",2020-05-13,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1585","Understanding the backlash parsing of ripgrep.",1585,"Answered","DasOhmoff",2020-05-17,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1584","Hard to understand how globs are working",1584,"Answered","kaldown",2020-05-16,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1580","How much trouble would it be to implement searching all git branches in all repos in the path being searched?",1580,"Answered","shabbir-genetech",2020-05-11,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1579","clarification about ripgrep functionality and possible example",1579,"Answered","atereou",2020-05-10,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1578","How do I include hidden directories but exclude .git folders?",1578,"Answered","haji-ali",2020-05-09,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1567","How to restrict files to matching dir-or-file names?",1567,"Answered","douglasdd",2020-05-04,,,"False"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1560","how do I search for a pattern starting with ""-""?",1560,"Answered","tgray",2020-04-23,,,"True"
"BurntSushi/ripgrep","https://github.com/BurntSushi/ripgrep/discussions/1552","ripgrep is open for questions!",1552,"Unanswered","BurntSushi",2020-04-14,,,"False"
"Eugeny/terminus","https://github.com/Eugeny/terminus/discussions/2745","No documentation / explanation on how to set a background image",2745,"Unanswered","LainIwakura",2020-06-27,,,"True"
"Eugeny/terminus","https://github.com/Eugeny/terminus/discussions/2761","Terminus file extension",2761,"Unanswered","llgava",2020-07-03,,,"False"
"Eugeny/terminus","https://github.com/Eugeny/terminus/discussions/2757","Persistent SSH tunnel",2757,"Answered","VeRychard",2020-07-01,,,"False"
"Eugeny/terminus","https://github.com/Eugeny/terminus/discussions/2755","Hard to find, ....",2755,"Unanswered","THX1188",2020-07-01,,,"False"
"Eugeny/terminus","https://github.com/Eugeny/terminus/discussions/2750","selecting long line as multiple lines",2750,"Unanswered","mauricioscastro",2020-06-29,,,"False"
"Eugeny/terminus","https://github.com/Eugeny/terminus/discussions/2732","Welcome to Terminus Discussions!",2732,"Unanswered","Eugeny",2020-06-23,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/5122","Does apollo client with Ionic4 angular6 support offline feature?",5122,"Unanswered","patilkun",2019-08-02,,,"True"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/4877","InMemoryCache is not supporting reading particular item from cache",4877,"Unanswered","wtrocki",2019-05-27,,,"True"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/4913","returning variables from a class function inside a Mutation",4913,"Unanswered","rostgoat",2019-06-04,,,"True"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/4919","Cache - Local state - Best practice for default values",4919,"Unanswered","matthieudesprez",2019-06-05,,,"True"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/4825","Is it possible to do optimistic update first, send mutation through network later?",4825,"Unanswered","YoonjiJang",2019-05-17,,,"True"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6458","Server-side ApolloClient.query with cookie and/or headers",6458,"Answered","hspinks",2020-06-19,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6487","refetch with navigation focus",6487,"Unanswered","AchrafBn",2020-06-24,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6748","How do I get the response from a mutation with Apollo-Client-React v3 ?",6748,"Unanswered","ivanjeremic",2020-07-30,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6722","Adding connection edges from mutations into a connection with filter arguments",6722,"Unanswered","SirensOfTitan",2020-07-28,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6570","How to force a query with different arguments to use a single cache entry?",6570,"Unanswered","vladk96",2020-07-10,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6652","ReactiveVar as variables inside a query.",6652,"Unanswered","elm-suf",2020-07-20,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6640","[AC3.0]How to distinguish between fetchMore and refetch on typePolicies's merge function?",6640,"Unanswered","Zhangdroid",2020-07-18,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6522","Is there an Angular - Android example?",6522,"Answered","TomasMoskala",2020-07-01,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6630","State of @connection directive",6630,"Unanswered","dvakatsiienko",2020-07-17,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6610","Add writeField (analogy to readField)",6610,"Unanswered","ivan-kleshnin",2020-07-16,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6606","Cache Invalidation in Apollo 3.0",6606,"Unanswered","ivan-kleshnin",2020-07-15,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6602","AC3: missing information how to restore ac2 cache behaviour for easier migration",6602,"Answered","macrozone",2020-07-15,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6586","Question about ID field type",6586,"Unanswered","iq-dot",2020-07-13,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/5911","Recursive readField",5911,"Unanswered","ashubham",2020-02-05,,,"True"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6569","How to prevent GraphQL errors from crashing the whole app?",6569,"Unanswered","Drakota",2020-07-10,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6567","Concerning React Context and caching",6567,"Unanswered","BiscuiTech",2020-07-09,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6126","Does the cache remember query results without id field?",6126,"Unanswered","alfechner",2020-04-08,,,"True"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6530","Lightweight Apollo Client SSR",6530,"Unanswered","correttojs",2020-07-02,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6521","Disable Apollo's live updates for part of the render tree",6521,"Unanswered","arcanis",2020-07-01,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6491","Local Storage confusion",6491,"Unanswered","Maetes",2020-06-25,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6476","How to handle empty responses? (valueChanges observable never returns)",6476,"Unanswered","TomasMoskala",2020-06-23,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6410","Why the key ""variables""?",6410,"Unanswered","alex-cory",2020-06-07,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6411","Will the Apollo-Client v3.0.0-rc.2 work with Vue-Apollo?",6411,"Unanswered","tukaibat",2020-06-08,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6398","How to track mutations (Apollo) in loops? It overrides and looping only one same result",6398,"Unanswered","flora8984461",2020-06-05,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6135","Does Apollo client support resolver chains like apollo server?",6135,"Unanswered","masihjahangiri",2020-04-10,,,"True"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6377","3.0b question: can fetchPolicy apply to specific fields?",6377,"Unanswered","jguffey",2020-06-02,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6366","Fragment based dynamic component rendering",6366,"Unanswered","iDavidB",2020-05-30,,,"True"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6176",".subscribe method does not indicate success",6176,"Unanswered","Alwigi",2020-04-21,,,"True"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6168","You can't manage cache with optimistic ui",6168,"Unanswered","DMShamonov",2020-04-20,,,"True"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6159","Refetching queries based on variables",6159,"Unanswered","Vincz",2020-04-17,,,"True"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6148","Apollo Client InMemoryCache, What are all the things that affect InMemoryCache and network requests?",6148,"Unanswered","codeithuman",2020-04-14,,,"True"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6147","__typename has been injected into my update mutation and it causes query to fail",6147,"Unanswered","lovefamilychildrenhappiness",2020-04-14,,,"True"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6134","smart query update when using a create mutation",6134,"Unanswered","sbernier1",2020-04-09,,,"True"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6132","No way to represent array of objects from client apart from using server defined variable",6132,"Unanswered","gpradeepjain",2020-04-09,,,"True"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6129","MockedProvider with Enzyme shallow",6129,"Unanswered","jvanbaarsen",2020-04-09,,,"True"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6127","Subscriptions & optimistic updates",6127,"Unanswered","esseswann",2020-04-08,,,"True"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6121","CORS error",6121,"Unanswered","AndonMitev",2020-04-07,,,"True"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6104","pollInterval is not working",6104,"Unanswered","margusp2heathmont",2020-04-02,,,"True"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6345","There is an alternative to 'provider' access to data？",6345,"Unanswered","jockey100332",2020-05-26,,,"True"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6344","Frontend Cache Question",6344,"Unanswered","prinse1545",2020-05-26,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6228","Caching one Object at a Time in a Collection",6228,"Unanswered","CatalinVoss",2020-05-01,,,"True"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6230","Hello, GraphQL Mutation work successfully with Graphiql but does not work with Apollo its give me 500 server error",6230,"Unanswered","shakilkhan12",2020-05-02,,,"True"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6315","How can i pass access token as Authorization in headers of graphql with apollo in react-native",6315,"Unanswered","ppv94",2020-05-20,,,"True"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6293","Improving the local state management: @export directive on server side fields or accessing grandparent values in local resolvers",6293,"Unanswered","darkbasic",2020-05-16,,,"True"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6145","New client side state management",6145,"Unanswered","Regaron",2020-04-13,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6196","Getting Erro from Apollo Server",6196,"Unanswered","shoaibsharif",2020-04-26,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6056","Discussions?",6056,"Unanswered","hwillson",2020-03-17,,,"False"
"apollographql/apollo-client","https://github.com/apollographql/apollo-client/discussions/6162","What if the Apollo team develops and maintains next-apollo plugin for Next.js?",6162,"Unanswered","nghiepit",2020-04-18,,,"False"
"babel/babel","https://github.com/babel/babel/discussions/11867","error occuring when I try to run a new react app",11867,"Unanswered","ynsss",2020-07-22,"🙏","Help","False"
"babel/babel","https://github.com/babel/babel/discussions/11895","Unexpected token @ when using babel-loader",11895,"Unanswered","navya504",2020-07-30,"🙏","Help","False"
"babel/babel","https://github.com/babel/babel/discussions/11887","[@babel/types] the change of types.callExpression.name makes traverse fail",11887,"Unanswered","Genuifx",2020-07-29,"🙏","Help","False"
"babel/babel","https://github.com/babel/babel/discussions/11858","Must use import to load ES Module",11858,"Unanswered","jaskarannagi19",2020-07-21,"🙏","Help","False"
"babel/babel","https://github.com/babel/babel/discussions/11831","Inlining the string result of a function call which uses fs during transpilation",11831,"Unanswered","janus-reith",2020-07-13,"🙏","Help","False"
"babel/babel","https://github.com/babel/babel/discussions/11840","Errors importing less and PNG/SVG in a React App",11840,"Unanswered","cmaronchick",2020-07-14,"🙏","Help","False"
"babel/babel","https://github.com/babel/babel/discussions/11817","How to polyfill Object.defineProperty for IE8 with babel 7",11817,"Unanswered","FisNew",2020-07-10,"🙏","Help","False"
"babel/babel","https://github.com/babel/babel/discussions/11821","Getting ReferenceError: regeneratorRuntime is not defined with React lib react-charts",11821,"Unanswered","itisguptak",2020-07-10,"#️⃣","General","False"
"babel/babel","https://github.com/babel/babel/discussions/11809","Typescript export type and babel throw Error",11809,"Answered","LaamGinghong",2020-07-09,"🙏","Help","False"
"babel/babel","https://github.com/babel/babel/discussions/11808","findIndex Method Issue",11808,"Answered","vrbait1107",2020-07-09,"🙏","Help","False"
"babel/babel","https://github.com/babel/babel/discussions/11785","Problem with ""this"" in React component using JSX",11785,"Unanswered","sbusch",2020-07-03,"🙏","Help","False"
"babel/babel","https://github.com/babel/babel/discussions/11804","Confused between plugin-syntax-dynamic-import and plugin-proposal-dynamic-import",11804,"Answered","brandonburkett",2020-07-07,"🙏","Help","False"
"babel/babel","https://github.com/babel/babel/discussions/11792","Is there an easy way to determine which JS features are available for a given version of @babel/preset-env?",11792,"Unanswered","mattdiamond",2020-07-04,"🙏","Help","False"
"babel/babel","https://github.com/babel/babel/discussions/11768","How to write an **async** babel plugin?",11768,"Unanswered","NE-SmallTown",2020-07-01,"🙏","Help","False"
"babel/babel","https://github.com/babel/babel/discussions/11720","Different results after babel build",11720,"Unanswered","philkau",2020-06-15,"🙏","Help","False"
"babel/babel","https://github.com/babel/babel/discussions/11649","Legacy library code that has contains export = syntax",11649,"Answered","andrwh",2020-05-30,"🙏","Help","False"
"babel/babel","https://github.com/babel/babel/discussions/11719","Auto-update corejs in env preset?",11719,"Answered","inwardmovement",2020-06-14,"🙏","Help","False"
"babel/babel","https://github.com/babel/babel/discussions/11736","Need help performing code transformations",11736,"Answered","HannahArri",2020-06-22,"🙏","Help","False"
"babel/babel","https://github.com/babel/babel/discussions/11694","How to correctly remove Flow types in a React Native Web project?",11694,"Answered","chichke",2020-06-08,"🙏","Help","True"
"babel/babel","https://github.com/babel/babel/discussions/11723","How can I use 'keepFileExtension' like a babel option ?",11723,"Answered","A-312",2020-06-16,"🙏","Help","False"
"babel/babel","https://github.com/babel/babel/discussions/11731","Brand guidelines for Babel logo usage",11731,"Answered","benhalverson",2020-06-19,"#️⃣","General","False"
"babel/babel","https://github.com/babel/babel/discussions/11613","How to use Babel Plugin to manipulate AST?",11613,"Answered","liuliangsir",2020-05-26,"🙏","Help","False"
"babel/babel","https://github.com/babel/babel/discussions/11714","Documentation for `is...` methods?",11714,"Unanswered","overlookmotel",2020-06-12,"🙏","Help","False"
"babel/babel","https://github.com/babel/babel/discussions/11707","this.setDynamic is not a function",11707,"Unanswered","Er-Ramanand-Dubey",2020-06-11,"🙏","Help","False"
"babel/babel","https://github.com/babel/babel/discussions/11654","traverse - find all global references",11654,"Unanswered","kumavis",2020-05-30,"🙌","Show and tell","False"
"babel/babel","https://github.com/babel/babel/discussions/11635","Support for the experimental syntax 'exportDefaultFrom' isn't currently enabled (1:8)",11635,"Answered","jeb2260",2020-05-27,"🙏","Help","False"
"babel/babel","https://github.com/babel/babel/discussions/11642","can a JSXExpressionContainer be wrapped with another?",11642,"Answered","BoyaZhang",2020-05-29,"🙏","Help","False"
"babel/babel","https://github.com/babel/babel/discussions/11602","How to get babel config which applies to given file",11602,"Answered","amilajack",2020-05-24,,,"False"
"babel/babel","https://github.com/babel/babel/discussions/11668","Any reason why babel doesn't strictly follow semver?",11668,"Answered","MatthewHerbst",2020-06-03,"#️⃣","General","False"
"babel/babel","https://github.com/babel/babel/discussions/11611","Is there a way to make babel embed @babel/runtime?",11611,"Answered","marco-a",2020-05-26,,,"False"
"babel/babel","https://github.com/babel/babel/discussions/11650","'@babel/register' not caching plugins and presets correctly",11650,"Answered","pbadenski",2020-05-30,"🙏","Help","False"
"babel/babel","https://github.com/babel/babel/discussions/11637","storybook",11637,"Answered","storybook-geek",2020-05-28,"🙏","Help","False"
"babel/babel","https://github.com/babel/babel/discussions/11575","How to add custom syntax/operators/keywords to JavaScript with Babel?",11575,"Answered","abalter",2020-05-18,,,"True"
"babel/babel","https://github.com/babel/babel/discussions/11587","How do you convert CommonJS (CJS) to ES6?",11587,"Answered","AsyncBanana",2020-05-18,,,"False"
"date-fns/date-fns","https://github.com/date-fns/date-fns/discussions/1840","Date parsing - forcing timezone",1840,"Unanswered","bryanrcampbell",2020-06-12,,,"False"
"date-fns/date-fns","https://github.com/date-fns/date-fns/discussions/1818","incorrect format of week",1818,"Answered","wenqi73",2020-06-02,,,"True"
"date-fns/date-fns","https://github.com/date-fns/date-fns/discussions/1871","latest 2.X minified from CDN?",1871,"Unanswered","rosemead",2020-07-09,,,"False"
"date-fns/date-fns","https://github.com/date-fns/date-fns/discussions/1870","build parsing errors for locales - Cannot augment module 'xxxx' with value exports because it resolves to a non-module entity",1870,"Unanswered","carmiele",2020-07-08,,,"False"
"date-fns/date-fns","https://github.com/date-fns/date-fns/discussions/1853","Removing en-US locale from bundle",1853,"Answered","danilstoyanov",2020-06-22,,,"False"
"date-fns/date-fns","https://github.com/date-fns/date-fns/discussions/1797","Excluding unused locales from webpack bundle",1797,"Answered","pawel-marciniak",2020-05-21,,,"False"
"date-fns/date-fns","https://github.com/date-fns/date-fns/discussions/1831","Why eachWeekendOfInterval don't have weekStartsOn option",1831,"Answered","irkreja",2020-06-08,,,"True"
"date-fns/date-fns","https://github.com/date-fns/date-fns/discussions/1819","How to import date-fns properly?",1819,"Answered","nihalkurki",2020-06-02,,,"False"
"date-fns/date-fns","https://github.com/date-fns/date-fns/discussions/1805","How can I import all locales as a Map?",1805,"Unanswered","udonmai",2020-05-26,,,"True"
"date-fns/date-fns","https://github.com/date-fns/date-fns/discussions/1799","open sourcing the ts types generation code",1799,"Answered","a7madgamal",2020-05-21,,,"False"
"date-fns/date-fns","https://github.com/date-fns/date-fns/discussions/1798","🎉 Welcome to the new home for the date-fns community!",1798,"Unanswered","kossnocorp",2020-05-21,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24405","File Explorer not opening in Firefox calling using interop js",24405,"Unanswered","JeyanthVictory",2020-07-29,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24440","How to add multiple components dynamically using RenderFragment",24440,"Unanswered","SevvandhiN",2020-07-30,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24477","How to access IOptions on adding HealthChecks in Startup?",24477,"Unanswered","agentschmitt",2020-07-31,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24421","WASM without Razor",24421,"Answered","samcov",2020-07-29,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24491","Extending Microsoft.AspNetCore.Razor.LanguageServer and it's client",24491,"Unanswered","abbatepabloo",2020-07-31,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24429","Localizing IdentityServer in Blazor WebAssembly app",24429,"Unanswered","ThaRaven403",2020-07-30,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24158","Should JwtBearerHandler implement SignInAuthenticationHandler?",24158,"Unanswered","yorickdewid",2020-07-21,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24404","Installing RuntimeCompilation package changes versions of published assemblies",24404,"Unanswered","ygoe",2020-07-29,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24395","slice a Blazor app into multiple sub apps",24395,"Unanswered","JulienM28",2020-07-29,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24325","Kestrel Performance on Windows Server vs Linux",24325,"Unanswered","accelware",2020-07-26,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24383","Kestrel port binding default to 80 or 443 / No error/warn/info/debug when  ""{abc}"" provided",24383,"Answered","tebeco",2020-07-28,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24372","Why SignManager.CanSignIn() dont return Error",24372,"Unanswered","HossienMehdikhah",2020-07-28,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24353","Unable to execute MVC sandbox project.",24353,"Unanswered","topagarwal",2020-07-28,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24360","Errors when capturing component references in nullable context",24360,"Unanswered","robertsundstrom",2020-07-28,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24359","Make use of ReadOnlySpan to avoid unnecessary string allocations",24359,"Unanswered","Youssef1313",2020-07-28,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24340","Blazor WASM Add parameters to authentication URL",24340,"Unanswered","timcromarty",2020-07-27,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24269","Diagramming component - Implementation complexities",24269,"Unanswered","KameshRajandran",2020-07-24,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24311","Check the validity of the user role",24311,"Unanswered","AliRezaBeigy",2020-07-25,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24306","OpenIDConnect through App Gateway",24306,"Unanswered","cnshenj",2020-07-25,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24230","JsonSerializerOptions memory leak?",24230,"Answered","shawndewet",2020-07-23,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24236","[Blazor WASM] Release Build: Info messages in Developer Console about 'Authentication'",24236,"Unanswered","JeepNL",2020-07-23,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24096","Process always crashes when closing WebSocket on the server side",24096,"Unanswered","ygoe",2020-07-19,,,"True"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24205","RequestTimeout for a single controller action",24205,"Answered","lixaotec",2020-07-22,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24212","Fail to publish self-contained hosted Blazor-app",24212,"Unanswered","robertsundstrom",2020-07-22,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24196","Blazor: Share state between server-side prerendering and actual application lifetime",24196,"Unanswered","gingters",2020-07-22,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/23238","IServiceProviderFactory not replacing ServiceProvider",23238,"Answered","dazinator",2020-06-22,,,"True"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24110","How to use DI to use a DbContext in a wrapper class, and inject said wrapper class instead of the DbContext",24110,"Unanswered","Wnzebkhan",2020-07-20,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/23752","Undocumented breaking change 2.2 -> 3.1? How to get Windows user name in 3.1 (AuthorizationHandler)?",23752,"Unanswered","lesscodetxm",2020-07-07,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24099","Endpoint Routing does not support 'IApplicationBuilder.UseMvc(...)",24099,"Unanswered","HanumantappaBudihal",2020-07-19,,,"True"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24086","GetUsersForClaimAsync can lead to memory overflow?",24086,"Unanswered","XzaR90",2020-07-18,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24060","How to Customize IdentityServer views in Blazor?",24060,"Answered","djary",2020-07-17,,,"False"
"dotnet/aspnetcore","https://github.com/dotnet/aspnetcore/discussions/24050","Is it possible to unbind onclose handler in SignalR JS client?",24050,"Unanswered","planty",2020-07-17,,,"False"
